msoa,Name,msoa11hclnm,population2015,Areakm2,PopDensityPerkm2,Employment,EmpDensityPerkm2
E02005987,Vale of White Horse 010,"Sutton Courtenay, Drayton & Steventon",8013,37.35652296,214.50069130998,5000,133.845433242109
E02005988,Vale of White Horse 011,Grove,7171,9.97443440,718.938008453723,1750,175.448544731519
E02005991,Vale of White Horse 014,Wantage Town,9927,3.715131361,2672.04549042871,3500,942.093202071301
E02005992,Vale of White Horse 015,"South Wantage, Harwell & Blewbury",10246,94.1550201,108.820538638268,14000,148.690956521818
E02006886,Vale of White Horse 016,"Shrivenham, Watchfield & Uffington",11880,185.5806269,64.0153026803806,6000,32.3309609425616
E02005692,Wellingborough 001,"Finedon, Isham & Harrowden",6561,44.21939984,148.373791237037,1250,28.2681358074262
E02005693,Wellingborough 002,Rixon,8585,3.85925773,2224.52103259054,5000,1295.58592605319
E02005694,Wellingborough 003,Redwell,7557,3.7485102,2016.00091307734,2250,600.238462736476
E02005695,Wellingborough 004,Victoria & Isebrook,8032,5.621576273,1428.78075642361,4000,711.544201438962
E02005696,Wellingborough 005,Queensway,5951,3.296021125,1805.510272424,4500,1365.28251165259
E02005697,Wellingborough 006,Central Wellingborough,6594,1.770567351,3724.22997416983,6000,3388.74428956981
E02005698,Wellingborough 007,Brickhill,5855,1.186328328,4935.39592861592,700,590.055875324255
E02005699,Wellingborough 008,Croyland,8115,3.17718941,2554.14423347154,3500,1101.60256388366
E02005700,Wellingborough 009,Earls Barton & Great Doddington,8832,44.48835360,198.523867172738,3500,78.6722752536295
E02005701,Wellingborough 010,"Irchester, Wollaston & Bozeat",11115,51.67198323,215.106897477132,3500,67.7349654728938
E02005993,West Oxfordshire 001,Chipping Norton,6413,9.62346025,666.392319834085,3000,311.738181700288
E02005994,West Oxfordshire 002,"Kingham, Enstone & Middle Barton",6440,134.8032816,47.7733176976512,3000,22.254651106357
E02005995,West Oxfordshire 003,Chadlington & Wychwoods,6065,120.36358113,50.3889959327143,2250,18.6933620525121
E02005996,West Oxfordshire 004,"Woodstock, Stonesfield & Tackley",8272,72.79505284,113.6340956899,3500,48.080190390037
E02005997,West Oxfordshire 005,Charlbury & North Leigh,5635,34.94719027,161.24329186275,1500,42.9219055498049
E02005998,West Oxfordshire 006,Hanborough & Cassington,6064,24.59121194,246.592157200135,3000,121.994800716601
E02005999,West Oxfordshire 007,"Leafield, Minster Lovell & Duckington",6316,58.70715981,107.584833275476,2500,42.5842436951644
E02006000,West Oxfordshire 008,Witney East,12174,3.4848149,3493.44240288934,2000,573.918574556141
E02006001,West Oxfordshire 009,Witney West,5776,2.43798773,2369.16696642222,2500,1025.43584171361
E02006002,West Oxfordshire 010,Witney Central,10619,3.300447287,3217.44269106492,9000,2726.90311869235
E02006003,West Oxfordshire 011,Eynsham & Stanton Harcourt,5486,45.95672763,119.373164344643,3000,65.2787993121085
E02006004,West Oxfordshire 012,Burford & Brize Norton,6131,127.58809083,48.0530742324154,4500,35.2697494783887
E02006005,West Oxfordshire 013,Carterton North,9404,2.231909351,4213.43276963096,1500,672.070305780085
E02006006,West Oxfordshire 014,Carterton South,7092,2.48972998,2848.50166275304,1250,502.062476670663
E02006007,West Oxfordshire 015,"Bampton, Clanfield & Standlake",6722,71.0788240,94.5710638089703,1750,24.62055365463
E02003696,Wycombe 001,Princes Risborough,8025,10.64290020,754.023794786472,3000,281.878054254422
E02003697,Wycombe 002,"Longwick, Kimble & Lacey Green",6033,61.16817319,98.6297233501127,1750,28.6096495732211
E02003698,Wycombe 003,Walter's Ash & Hughenden Valley,8321,18.788286325,442.882328696174,2250,119.755466841386
E02003699,Wycombe 004,Stokenchurch,5684,26.668893549,213.13220173394,2250,84.3679545934656
E02003701,Wycombe 006,Downley,11480,5.96007817,1926.14923411264,2000,335.566068590674
E02003702,Wycombe 007,"Bledlow, Cadmore End & Hambleden Valley",8087,109.40250854,73.9196944224291,3500,31.9919538108244
E02003703,Wycombe 008,Terriers & Amersham Hill,8357,2.553229599,3273.10947846562,2000,783.321641259102
E02003704,Wycombe 009,Tylers Green,5883,4.329824532,1358.71556830998,1000,230.956241438747
E02003705,Wycombe 010,Bowerdean,7020,0.953696016,7360.83603671255,2000,2097.10428317444
E02003706,Wycombe 011,Totteridge,6964,1.214217379,5735.38158636118,600,494.14545564662
E02003707,Wycombe 012,Sands,6797,3.37160502,2015.95381294789,3000,889.783940350166
E02003708,Wycombe 013,Oakridge & Castlefield,9591,1.11154853,8628.5031676439,2500,2249.11457532133
E02003709,Wycombe 014,Micklefield,5762,1.77465013,3246.83716326578,450,253.571108125972
E02003710,Wycombe 015,Town Centre & Marlow Hill,10659,4.558041819,2338.50421357151,21000,4607.24162566092
E02003711,Wycombe 016,Ryemead & Wycombe Marsh,9417,4.190782556,2247.0743526044,7000,1670.33242752669
E02003712,Wycombe 017,Lane End & Booker,7773,7.247650961,1072.48542206551,5000,689.878696822635
E02003713,Wycombe 018,Flackwell Heath,6025,4.346368256,1386.21479936274,1000,230.077145124447
E02003714,Wycombe 019,Loudwater & Wooburn Green,6597,7.28793352,905.194864796946,6000,823.278640445118
E02003715,Wycombe 020,"Marlow Bottom, Danesfield & Well End",6643,32.780228969,202.652641817998,2500,76.2654831473029
E02003716,Wycombe 021,Bourne End,5633,5.0980649,1104.92905006066,3500,686.535002722307
E02003717,Wycombe 022,Marlow West & North,8809,4.875161118,1806.91464083982,3500,717.924990638227
E02003718,Wycombe 023,Marlow East,5600,2.0102143,2785.77265913062,7000,3482.21580156902
E02006824,Wycombe 024,Hazlemere,9673,4.237878219,2282.51013855735,2000,471.934278581496
